Dato,Øvelse,Vægt,Reps,RPE
30/8/2026,Bænkpres,75.0,8.0,8.0
24/8/2026,Bænkpres,75.0,6.0,8.0
16/8/2026,Dødløft,120.0,4.0,7.0
16/8/2026,Bænkpres,77.5,3.0,8.0
13/8/2026,Bænkpres,75.0,6.0,8.0
13/8/2026,Dødløft,120.0,3.0,6.0
9/8/2026,Bænkpres,75.0,7.0,10.0
5/8/2026,Bænkpres,70.0,8.0,7.0
26/7/2026,Bænkpres,82.5,3.0,8.0
23/7/2026,Bænkpres,82.5,3.0,9.0
11/7/2026,Bænkpres,75.0,6.0,8.0
11/7/2026,Squat,120.0,5.0,8.0
8/7/2026,Bænkpres,80.0,3.0,8.0
1/7/2026,Dødløft,135.0,3.0,8.0
27/6/2026,Bænkpres,72.5,7.0,8.0
27/6/2026,Squat,117.5,5.0,8.0
24/6/2026,Bænkpres,85.0,1.0,8.0
24/6/2026,Dødløft,130.0,5.0,8.0
21/6/2026,Bænkpres,70.0,10.0,8.0
21/6/2026,Squat,115.0,5.0,8.0
17/6/2026,Bænkpres,82.5,1.0,8.0
17/6/2026,Dødløft,127.5,5.0,8.0
14/6/2026,Bænkpres,67.5,10.0,9.0
14/6/2026,Squat,112.5,5.0,8.5
10/6/2026,Bænkpres,80.0,1.0,7.0
10/6/2026,Dødløft,125.0,5.0,8.0
7/6/2026,Bænkpres,65.0,10.0,8.0
7/6/2026,Squat,105.0,5.0,8.5
3/6/2026,Bænkpres,80.0,2.0,8.0
3/6/2026,Dødløft,125.0,5.0,8.0
27/5/2026,Bænkpres,70.0,6.0,7.0
27/5/2026,Dødløft,125.0,7.0,8.0
24/5/2026,Bænkpres,85.0,1.0,8.0
20/5/2026,Bænkpres,85.0,1.0,9.0
20/5/2026,Squat,115.0,1.0,7.0
15/5/2026,Dødløft,120.0,10.0,8.0
15/5/2026,Bænkpres,70.0,8.0,9.0
15/5/2026,Squat,110.0,4.0,8.0
13/5/2026,Bænkpres,72.5,4.0,9.0
13/5/2026,Dødløft,120.0,9.0,9.0
8/5/2026,Squat,105.0,4.0,8.0
8/5/2026,Bænkpres,65.0,5.0,7.0
8/5/2026,Dødløft,135.0,2.0,8.0
6/5/2026,Squat,102.5,4.0,8.0
1/5/2026,Dødløft,140.0,1.0,8.0
29/4/2026,Squat,102.5,4.0,8.0
29/4/2026,Bænkpres,85.0,1.0,9.0
24/4/2026,Squat,95.0,5.0,7.0
8/4/2026,Bænkpres,85.0,1.0,9.0
8/4/2026,Squat,95.0,5.0,7.0
3/4/2026,Bænkpres,85.0,2.0,8.0
3/4/2026,Dødløft,145.0,3.0,8.0
27/3/2026,Bænkpres,85.0,1.0,7.0
27/3/2026,Dødløft,147.5,1.0,9.0
25/3/2026,Bænkpres,85.0,2.0,9.0
25/3/2026,Squat,90.0,8.0,8.0
20/3/2026,Bænkpres,85.0,2.0,8.5
20/3/2026,Dødløft,145.0,2.0,8.0
18/3/2026,Bænkpres,87.5,1.0,8.0
13/3/2026,Bænkpres,85.0,1.0,8.0
13/3/2026,Dødløft,140.0,2.0,7.0
6/3/2026,Bænkpres,82.5,2.0,8.5
4/3/2026,Bænkpres,80.0,2.0,8.0
4/3/2026,Squat,125.0,3.0,7.0
15/12/2025,Squat,115.0,1.0,8.0
15/12/2025,Bænkpres,65.0,5.0,7.0
15/12/2025,Dødløft,105.0,8.0,8.0
17/12/2025,Squat,115.0,1.0,7.0
17/12/2025,Bænkpres,67.5,6.0,8.0
17/12/2025,Dødløft,110.0,8.0,8.0
26/12/2025,Squat,120.0,1.0,7.0
26/12/2025,Bænkpres,80.0,1.0,7.0
26/12/2025,Dødløft,120.0,5.0,7.0
30/12/2025,Dødløft,130.0,1.0,8.0
30/12/2025,Bænkpres,75.0,3.0,8.5
30/12/2025,Squat,115.0,5.0,9.0
2/1/2026,Dødløft,130.0,8.0,8.0
2/1/2026,Bænkpres,85.0,1.0,9.0
7/1/2026,Dødløft,130.0,2.0,7.0
7/1/2026,Bænkpres,65.0,5.0,7.0
12/1/2026,Dødløft,140.0,3.0,8.0
12/1/2026,Squat,120.0,3.0,8.0
14/1/2026,Bænkpres,70.0,7.0,8.0
21/1/2026,Squat,117.5,3.0,7.0
21/1/2026,Dødløft,142.5,1.0,8.0
23/1/2026,Dødløft,140.0,3.0,8.0
28/1/2026,Squat,120.0,3.0,7.0
28/1/2026,Dødløft,120.0,4.0,6.0
30/1/2026,Dødløft,145.0,1.0,8.0
30/1/2026,Squat,127.5,1.0,7.0
2/2/2026,Squat,105.0,5.0,6.0
2/2/2026,Dødløft,100.0,5.0,5.0
6/2/2026,Dødløft,120.0,3.0,6.0
6/2/2026,Squat,100.0,3.0,6.0
11/2/2026,Squat,110.0,5.0,6.0
11/2/2026,Bænkpres,60.0,10.0,7.0
13/2/2026,Dødløft,135.0,2.0,6.0
13/2/2026,Bænkpres,65.0,8.0,7.0
13/2/2026,Squat,115.0,4.0,7.0
18/2/2026,Squat,120.0,2.0,7.0
18/2/2026,Bænkpres,72.5,5.0,7.0
20/2/2026,Dødløft,140.0,1.0,8.0
20/2/2026,Bænkpres,75.0,3.0,7.0
20/2/2026,Squat,110.0,6.0,7.0
25/2/2026,Squat,125.0,3.0,8.0
25/2/2026,Bænkpres,80.0,1.0,8.0
27/2/2026,Dødløft,145.0,1.0,8.0
27/2/2026,Bænkpres,82.5,1.0,7.5
