Dato,E1RM
15/12/2025,84.5
17/12/2025,85.5
26/12/2025,90.7
30/12/2025,86.3
02/01/2026,90.7
07/01/2026,82.3
14/01/2026,91.0
11/02/2026,86.0
13/02/2026,88.8
18/02/2026,91.8
20/02/2026,90.0
25/02/2026,88.0
27/02/2026,92.1
04/03/2026,90.7
06/03/2026,92.1
13/03/2026,93.5
18/03/2026,96.3
20/03/2026,94.9
25/03/2026,93.5
27/03/2026,96.3
03/04/2026,96.3
08/04/2026,90.7
29/04/2026,90.7
08/05/2026,82.3
13/05/2026,84.6
15/05/2026,91.0
20/05/2026,90.7
24/05/2026,93.5
27/05/2026,91.0
03/06/2026,90.7
07/06/2026,91.0
10/06/2026,90.7
14/06/2026,92.3
17/06/2026,90.8
21/06/2026,98.0
24/06/2026,93.5
27/06/2026,94.3
08/07/2026,93.3
11/07/2026,95.0
23/07/2026,93.5
26/07/2026,96.3
05/08/2026,95.7
