Dato,E1RM
15/12/2025,143.5
17/12/2025,146.7
26/12/2025,152.0
30/12/2025,148.0
02/01/2026,173.3
07/01/2026,152.0
12/01/2026,163.3
21/01/2026,160.3
23/01/2026,163.3
28/01/2026,160.0
30/01/2026,162.0
02/02/2026,133.3
06/02/2026,152.0
13/02/2026,162.0
20/02/2026,154.0
27/02/2026,159.5
13/03/2026,163.3
20/03/2026,164.3
27/03/2026,157.3
03/04/2026,169.2
01/05/2026,154.0
08/05/2026,153.0
13/05/2026,160.0
15/05/2026,168.0
27/05/2026,162.5
03/06/2026,154.2
10/06/2026,154.2
17/06/2026,157.3
24/06/2026,160.3
01/07/2026,157.5
