Dato,E1RM
15/12/2025,126.7
17/12/2025,130.3
26/12/2025,136.0
30/12/2025,138.0
12/01/2026,140.0
21/01/2026,141.0
28/01/2026,144.0
30/01/2026,144.5
02/02/2026,136.5
06/02/2026,126.7
11/02/2026,143.0
13/02/2026,141.8
18/02/2026,140.0
20/02/2026,143.0
25/02/2026,145.8
04/03/2026,150.0
25/03/2026,120.0
08/04/2026,120.3
24/04/2026,120.3
29/04/2026,123.0
06/05/2026,123.0
08/05/2026,126.0
15/05/2026,132.0
20/05/2026,130.3
07/06/2026,127.8
14/06/2026,136.9
21/06/2026,141.8
27/06/2026,144.9
11/07/2026,148.0
