Index,Dato,Øvelse,DagensE1RM,AntalDatoAntalØvelse,ForrigeDato,ForrigeE1RM,Delta,PRTjek,Forrige2E1RM,MomentumBaseline,MomentumDelta,MomentumKey,PRFlag
1,15/12/2025,Squat,126.7,162,0,,,,,,,,SAND
2,15/12/2025,Bænkpres,84.5,,0,,,,,,2.2,1,SAND
3,15/12/2025,Dødløft,143.5,,0,,,,,,23.3,1,SAND
4,17/12/2025,Squat,130.3,,15/12/2025 00.00,126.7,3.7,,,,,,SAND
5,17/12/2025,Bænkpres,85.5,,15/12/2025 00.00,84.5,1.0,,,,-6.1,-1,SAND
6,17/12/2025,Dødløft,146.7,,15/12/2025 00.00,143.5,3.2,,,,-8.7,-1,SAND
7,26/12/2025,Squat,136.0,,17/12/2025 00.00,130.3,5.7,,126.7,128.5,2.0,1,SAND
8,26/12/2025,Bænkpres,90.7,,17/12/2025 00.00,85.5,5.2,,84.5,85.0,,,SAND
9,26/12/2025,Dødløft,152.0,,17/12/2025 00.00,146.7,5.3,,143.5,145.1,0.7,0,SAND
10,30/12/2025 00.00,Squat,138.0,,26/12/2025 00.00,136.0,2.0,,130.3,133.2,,,SAND
11,30/12/2025 00.00,Bænkpres,86.3,,26/12/2025 00.00,90.7,-4.4,,85.5,88.1,8.7,1,FALSK
12,30/12/2025 00.00,Dødløft,148.0,,26/12/2025 00.00,152.0,-4.0,,146.7,149.3,,,FALSK
13,02/01/2026 00.00,Squat,,,30/12/2025 00.00,138.0,,,136.0,137.0,1.0,0,
14,02/01/2026 00.00,Bænkpres,90.7,,30/12/2025 00.00,86.3,4.4,,90.7,88.5,,,FALSK
15,02/01/2026 00.00,Dødløft,173.3,,30/12/2025 00.00,148.0,25.3,PR,152.0,150.0,-3.0,-1,SAND
16,07/01/2026 00.00,Squat,,,02/01/2026 00.00,138.0,,,138.0,138.0,,,
17,07/01/2026 00.00,Bænkpres,82.3,,02/01/2026 00.00,90.7,-8.3,,86.3,88.5,,,FALSK
